rpm,time_diff,x
0.00,0,1.4577851295471191
0.00,0,1.4597232341766357
0.00,1,1.4623868465423584
0.00,1,1.465428113937378
0.00,2,1.466672658920288
0.00,3,1.4684505462646484
0.00,3,1.4697625637054443
0.00,4,1.470263957977295
0.00,4,1.4707205295562744
0.00,5,1.4714796543121338
0.00,6,1.4769988059997559
0.00,6,1.48179292678833
0.00,7,1.4828181266784668
0.00,8,1.484116554260254
0.00,8,1.4849324226379395
0.00,9,1.4860424995422363
0.00,9,1.4865272045135498
0.00,10,1.4870481491088867
0.00,11,1.4874999523162842
0.00,11,1.4883320331573486
0.00,12,1.4898943901062012
0.00,13,1.4912269115447998
0.00,13,1.4923131465911865
0.00,14,1.4940903186798096
0.00,15,1.4973435401916504
0.00,15,1.4982283115386963
0.00,16,1.498854160308838
0.00,17,1.5000784397125244
0.00,17,1.5006208419799805
0.00,18,1.501251459121704
0.00,19,1.5016555786132812
0.00,19,1.5024454593658447
0.00,20,1.5029630661010742
0.00,21,1.5037453174591064
0.00,21,1.5041992664337158
0.00,22,1.5050373077392578
0.00,23,1.5057837963104248
0.00,23,1.5064008235931396
0.00,24,1.5069668292999268
0.00,25,1.5078392028808594
0.00,25,1.5085129737854004
0.00,26,1.5090150833129883
0.00,27,1.5106456279754639
0.00,27,1.5118987560272217
0.00,28,1.5136463642120361
0.00,29,1.5151472091674805
0.00,29,1.5158166885375977
0.00,30,1.5172815322875977
0.00,31,1.5184533596038818
0.00,32,1.520385503768921
0.00,32,1.5227530002593994
0.00,33,1.5233380794525146
0.00,34,1.5238094329833984
0.00,34,1.5242745876312256
0.00,35,1.524871587753296
0.00,36,1.525324821472168
0.00,36,1.525770902633667
0.00,37,1.526224136352539
0.00,38,1.5266718864440918
0.00,38,1.527151346206665
0.00,39,1.5276734828948975
0.00,40,1.528228998184204
0.00,40,1.5288004875183105
0.00,41,1.5300586223602295
0.00,43,1.5309717655181885
0.00,43,1.5318634510040283
0.00,44,1.5333888530731201
0.00,45,1.5350120067596436
0.00,45,1.5356061458587646
0.00,46,1.5362639427185059
0.00,47,1.5372750759124756
0.00,47,1.5383832454681396
0.00,48,1.539510726928711
0.00,49,1.5418639183044434
0.00,49,1.543442964553833
0.00,50,1.5439777374267578
0.00,51,1.544520616531372
0.00,52,1.5451438426971436
0.00,52,1.545806646347046
0.00,53,1.5463061332702637
0.00,54,1.5467545986175537
0.00,55,1.5471787452697754
0.00,55,1.5477075576782227
0.00,56,1.5481758117675781
0.00,57,1.5487091541290283
0.00,58,1.5493032932281494
0.00,58,1.5497422218322754
0.00,59,1.5501954555511475
0.00,60,1.5507373809814453
0.00,61,1.5514507293701172
0.00,61,1.5519213676452637
0.00,62,1.5523676872253418
0.00,63,1.5528948307037354
0.00,64,1.5533647537231445
0.00,64,1.5538074970245361
0.00,65,1.554375171661377
0.00,66,1.5548346042633057
0.00,67,1.5553555488586426
0.00,67,1.5560474395751953
0.00,68,1.5565955638885498
0.00,69,1.557032585144043
0.00,70,1.5575385093688965
0.00,70,1.558126449584961
0.00,71,1.5586457252502441
0.00,72,1.5592525005340576
0.00,73,1.5602855682373047
0.00,73,1.5607750415802002
0.00,74,1.5613772869110107
0.00,75,1.56178879737854
0.00,76,1.5622234344482422
0.00,76,1.5627002716064453
0.00,77,1.563159704208374
0.00,78,1.5635993480682373
0.00,79,1.5641183853149414
0.00,79,1.5647025108337402
0.00,80,1.5652756690979004
0.00,81,1.5658390522003174
0.00,81,1.5664386749267578
0.00,82,1.5672757625579834
0.00,83,1.5683600902557373
0.00,84,1.5699501037597656
0.00,84,1.5706031322479248
0.00,86,1.5711183547973633
0.00,87,1.5715525150299072
0.00,88,1.5721404552459717
0.00,88,1.5726606845855713
0.00,89,1.5733015537261963
0.00,90,1.5739469528198242
0.00,91,1.5763087272644043
0.00,91,1.5776886940002441
0.00,92,1.5799498558044434
0.00,93,1.5809519290924072
0.00,94,1.581545352935791
0.00,94,1.5820975303649902
0.00,95,1.582512617111206
0.00,96,1.582930326461792
0.00,97,1.5836915969848633
0.00,97,1.5841834545135498
0.00,98,1.5846996307373047
0.00,99,1.5852060317993164
0.00,100,1.5865836143493652
2495.05,101,1.5872893333435059
2495.05,102,1.5880093574523926
2495.05,103,1.5897023677825928
2495.05,104,1.591238021850586
2495.05,105,1.5921916961669922
2495.05,106,1.5941357612609863
2495.05,107,1.5959911346435547
2495.05,108,1.5985665321350098
2495.05,109,1.599205493927002
