RPM,time
0.00,2.4604601860046387
0.00,2.4606285095214844
0.00,2.4607737064361572
0.00,2.4609034061431885
0.00,2.462597370147705
0.00,2.4628236293792725
0.00,2.462948799133301
0.00,2.463082790374756
0.00,2.463202953338623
0.00,2.465317726135254
0.00,2.4655184745788574
0.00,2.4656498432159424
0.00,2.4657602310180664
0.00,2.4658637046813965
0.00,2.4680519104003906
0.00,2.468287229537964
0.00,2.4684324264526367
0.00,2.468564033508301
0.00,2.468686580657959
0.00,2.4688069820404053
0.00,2.470815896987915
0.00,2.4710328578948975
0.00,2.471168041229248
0.00,2.4712982177734375
0.00,2.4714298248291016
0.00,2.4734673500061035
0.00,2.4736361503601074
0.00,2.473742723464966
0.00,2.473841428756714
0.00,2.4739363193511963
0.00,2.476170539855957
0.00,2.4763472080230713
0.00,2.4764740467071533
0.00,2.476592540740967
0.00,2.476705551147461
0.00,2.476818323135376
0.00,2.478949785232544
0.00,2.4791488647460938
0.00,2.479273796081543
0.00,2.479389190673828
0.00,2.479501485824585
0.00,2.481646776199341
0.00,2.481841564178467
0.00,2.481982946395874
0.00,2.482121229171753
0.00,2.482255697250366
0.00,2.484381675720215
0.00,2.4845919609069824
0.00,2.4847300052642822
0.00,2.484863519668579
0.00,2.4849977493286133
0.00,2.4851324558258057
0.00,2.4871556758880615
0.00,2.4873592853546143
0.00,2.4875030517578125
0.00,2.4876372814178467
0.00,2.487766742706299
0.00,2.4898359775543213
0.00,2.490037441253662
0.00,2.490175485610962
0.00,2.490304708480835
0.00,2.49043607711792
0.00,2.492513418197632
0.00,2.4927303791046143
0.00,2.492873191833496
0.00,2.493006944656372
0.00,2.493140935897827
0.00,2.493281602859497
0.00,2.495307445526123
0.00,2.495516538619995
0.00,2.4956648349761963
0.00,2.495802164077759
0.00,2.4959373474121094
0.00,2.497981071472168
0.00,2.4981801509857178
0.00,2.4983129501342773
0.00,2.498439073562622
0.00,2.4985573291778564
0.00,2.500763416290283
0.00,2.5010488033294678
0.00,2.5011816024780273
0.00,2.5012595653533936
0.00,2.5013275146484375
0.00,2.5013935565948486
0.00,2.5035452842712402
0.00,2.5038115978240967
0.00,2.503939390182495
0.00,2.5040507316589355
0.00,2.5041615962982178
0.00,2.5062410831451416
0.00,2.506551742553711
0.00,2.5067026615142822
0.00,2.5068418979644775
0.00,2.5069777965545654
0.00,2.5089266300201416
0.00,2.5092482566833496
0.00,2.5094211101531982
0.00,2.509617328643799
0.00,2.509779930114746
0.00,2.509917736053467
0.00,2.511667490005493
0.00,2.5118846893310547
0.00,2.512019634246826
0.00,2.512151002883911
